Time,Away,Home,Available,Row,Column,match_info,score,pregame,book
3/21/22 06:20:06 PM,211.5 1.93,211.5 1.85,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:20:05 PM,211.5 1.96,211.5 1.82,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:18:41 PM,211.5 1.96,211.5 1.86,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:18:22 PM,212.5 1.79,212.5 2.00,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:18:22 PM,213.5 1.84,213.5 1.93,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:18:00 PM,212 1.83,212 1.94,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:17:57 PM,212 1.83,212 1.95,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:17:57 PM,213 1.95,213 1.83,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:17:51 PM,212.5 1.90,212.5 1.87,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:17:47 PM,212.5 1.92,212.5 1.86,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:17:47 PM,212.5 1.84,212.5 1.93,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:17:32 PM,211.5 1.98,211.5 1.80,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:16:24 PM,211.5 2.01,211.5 1.83,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:15:58 PM,211.5 1.92,211.5 1.85,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:15:55 PM,211.5 1.88,211.5 1.88,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:15:55 PM,211.5 1.89,211.5 1.88,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:15:44 PM,211 1.96,211 1.82,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:15:44 PM,211 1.95,211 1.82,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:14:00 PM,211 1.95,211 1.83,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:14:00 PM,211 1.87,211 1.91,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:58 PM,209 1.86,209 1.91,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:40 PM,210.5 1.97,210.5 1.81,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:40 PM,210.5 1.96,210.5 1.82,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:40 PM,210.5 1.93,210.5 1.84,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:28 PM,211.5 2.01,211.5 1.78,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:26 PM,211.5 2.00,211.5 1.78,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:13:07 PM,209.5 1.98,209.5 1.80,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
3/21/22 06:12:53 PM,209.5 1.96,209.5 1.82,Closed,row_0,col_5,New Orleans Pelicans Charlotte Hornets,103 106 Final,o236 1.91 u236 1.91,Bookmaker Real-Time
