row_index,match_info,score,col_3,col_4,"Bookmaker 
Real-Time"
0,"New York Knicks
Charlotte Hornets","121
106
Final",,,"3.81
1.29"
1,"Atlanta Hawks
Detroit Pistons","101
122
Final",,,"1.50
2.70"
2,"Sacramento Kings
Indiana Pacers","110
109
Final",,,"2.92
1.43"
3,"Utah Jazz
Boston Celtics","97
125
Final",,,"2.55
1.56"
4,"Golden State Warriors
Miami Heat","118
104
Final",,,"4.76
1.21"
5,"Brooklyn Nets
Memphis Grizzlies","120
132
Final",,,"1.83
2.00"
6,"Phoenix Suns
Minnesota Timberwolves","125
116
Final",,,"2.09
1.78"
7,"Orlando Magic
Oklahoma City Thunder","102
118
Final",,,"1.71
2.20"
8,"Houston Rockets
Dallas Mavericks","91
110
Final",,,"5.25
1.18"
9,"Philadelphia 76ers
Los Angeles Lakers","126
121
Final",,,"1.22
4.62"
10,"San Antonio Spurs
Portland Trail Blazers","133
96
Final",,,"1.20
4.85"
